OXR,CA,CALIFORNIA,VENTURA,OXNARD,OXNARD
PSP,CA,CALIFORNIA,RIVERSIDE,PALM SPRINGS,PALM SPRINGS INTERNATIONAL
RDD,CA,CALIFORNIA,SHASTA,REDDING,REDDING MUNICIPAL
SMF,CA,CALIFORNIA,SACRAMENTO,SACRAMENTO,SACRAMENTO INTERNATIONAL
SBD,CA,CALIFORNIA,SAN BERNARDINO,SAN BERNARDINO,SAN BERNARDINO INTERNATIONAL
SAN,CA,CALIFORNIA,SAN DIEGO,SAN DIEGO,SAN DIEGO INTERNATIONAL
SFO,CA,CALIFORNIA,SAN MATEO,SAN FRANCISCO,SAN FRANCISCO INTERNATIONAL
SJC,CA,CALIFORNIA,SANTA CLARA,SAN JOSE,NORMAN Y. MINETA SAN JOSE INTERNATIONAL
SBP,CA,CALIFORNIA,SAN LUIS OBISPO,SAN LUIS OBISPO,SAN LUIS COUNTY REGIONAL
SNA,CA,CALIFORNIA,ORANGE,SANTA ANA,JOHN WAYNE AIRPORT-ORANGE COUNTY
SBA,CA,CALIFORNIA,SANTA BARBARA,SANTA BARBARA,SANTA BARBARA MUNICIPAL
SMX,CA,CALIFORNIA,SANTA BARBARA,SANTA MARIA,SANTA MARIA PUB/CAPT G ALLAN HANCOCK FIELD
STS,CA,CALIFORNIA,SONOMA,SANTA ROSA,CHARLES M. SCHULZ - SONOMA COUNTY
TVL,CA,CALIFORNIA,EL DORADO,SOUTH LAKE TAHOE,LAKE TAHOE
SCK,CA,CALIFORNIA,SAN JOAQUIN,STOCKTON,STOCKTON METROPOLITAN
VCV,CA,CALIFORNIA,SAN BERNARDINO,VICTORVILLE,SOUTHERN CALIFORNIA LOGISTICS
VIS,CA,CALIFORNIA,TULARE,VISALIA,VISALIA MUNICIPAL
ALS,CO,COLORADO,ALAMOSA,ALAMOSA,SAN LUIS VALLEY REGIONAL/BERGMAN FIELD
ASE,CO,COLORADO,PITKIN,ASPEN,ASPEN-PITKIN CO/SARDY FIELD
COS,CO,COLORADO,EL PASO,COLORADO SPRINGS,CITY OF COLORADO SPRINGS MUNICIPAL
CEZ,CO,COLORADO,MONTEZUMA,CORTEZ,CORTEZ MUNICIPAL
DEN,CO,COLORADO,DENVER,DENVER,DENVER INTERNATIONAL
BJC,CO,COLORADO,JEFFERSON,DENVER,ROCKY MOUNTAIN METROPOLITAN
DRO,CO,COLORADO,LA PLATA,DURANGO,DURANGO-LA PLATA COUNTY
EGE,CO,COLORADO,EAGLE,EAGLE,EAGLE COUNTY REGIONAL
FNL,CO,COLORADO,LARIMER,FORT COLLINS/LOVELAND,FORT COLLINS-LOVELAND MUNICIPAL
GJT,CO,COLORADO,MESA,GRAND JUNCTION,GRAND JUNCTION REGIONAL
GUC,CO,COLORADO,GUNNISON,GUNNISON,GUNNISON-CRESTED BUTTE REGIONAL
HDN,CO,COLORADO,ROUTT,HAYDEN,YAMPA VALLEY
MTJ,CO,COLORADO,MONTROSE,MONTROSE,MONTROSE REGIONAL
PUB,CO,COLORADO,PUEBLO,PUEBLO,PUEBLO MEMORIAL
TEX,CO,COLORADO,SAN MIGUEL,TELLURIDE,TELLURIDE REGIONAL
BDR,CT,CONNECTICUT,FAIRFIELD,BRIDGEPORT,IGOR I SIKORSKY MEMORIAL
GON,CT,CONNECTICUT,NEW LONDON,GROTON (NEW LONDON),GROTON-NEW LONDON
HVN,CT,CONNECTICUT,NEW HAVEN,NEW HAVEN,TWEED-NEW HAVEN
BDL,CT,CONNECTICUT,HARTFORD,WINDSOR LOCKS,BRADLEY INTERNATIONAL
DCA,DC,DIST. OF COLUMBIA,ARLINGTON,WASHINGTON,RONALD REAGAN WASHINGTON NATIONAL
IAD,DC,DIST. OF COLUMBIA,LOUDOUN,WASHINGTON,WASHINGTON DULLES INTERNATIONAL
ILG,DE,DELAWARE,NEW CASTLE,WILMINGTON,NEW CASTLE
DAB,FL,FLORIDA,VOLUSIA,DAYTONA BEACH,DAYTONA BEACH INTERNATIONAL
FLL,FL,FLORIDA,BROWARD,FORT LAUDERDALE,FORT LAUDERDALE/HOLLYWOOD INTERNATIONAL
RSW,FL,FLORIDA,LEE,FORT MYERS,SOUTHWEST FLORIDA INTERNATIONAL
GNV,FL,FLORIDA,ALACHUA,GAINESVILLE,GAINESVILLE REGIONAL
JAX,FL,FLORIDA,DUVAL,JACKSONVILLE,JACKSONVILLE INTERNATIONAL
EYW,FL,FLORIDA,MONROE,KEY WEST,KEY WEST INTERNATIONAL
LAL,FL,FLORIDA,POLK,LAKELAND,LAKELAND LINDER REGIONAL
MTH,FL,FLORIDA,MONROE,MARATHON,THE FLORIDA KEYS MARATHON
MLB,FL,FLORIDA,BREVARD,MELBOURNE,MELBOURNE INTERNATIONAL
MIA,FL,FLORIDA,DADE,MIAMI,MIAMI INTERNATIONAL
APF,FL,FLORIDA,COLLIER,NAPLES,NAPLES MUNICIPAL
OCF,FL,FLORIDA,MARION,OCALA,OCALA INTERNATIONAL-JIM TAYLOR FIELD
MCO,FL,FLORIDA,ORANGE,ORLANDO,ORLANDO INTERNATIONAL
SFB,FL,FLORIDA,SEMINOLE,ORLANDO,ORLANDO SANFORD INTERNATIONAL
ECP,FL,FLORIDA,BAY,PANAMA CITY,NORTHWEST FLORIDA BEACHES INTERNATIONAL
PNS,FL,FLORIDA,ESCAMBIA,PENSACOLA,PENSACOLA GULF COAST REGIONAL
PGD,FL,FLORIDA,CHARLOTTE,PUNTA GORDA,PUNTA GORDA
SRQ,FL,FLORIDA,SARASOTA,SARASOTA/BRADENTON,SARASOTA/BRADENTON INTERNATIONAL
SGJ,FL,FLORIDA,ST JOHNS,ST AUGUSTINE,NORTHEAST FLORIDA REGIONAL
PIE,FL,FLORIDA,PINELLAS,ST PETERSBURG-CLEARWATER,ST PETERSBURG-CLEARWATER INTERNATIONAL
TLH,FL,FLORIDA,LEON,TALLAHASSEE,TALLAHASSEE REGIONAL
TPA,FL,FLORIDA,HILLSBOROUGH,TAMPA,TAMPA INTERNATIONAL
TIX,FL,FLORIDA,BREVARD,TITUSVILLE,SPACE COAST REGIONAL
VRB,FL,FLORIDA,INDIAN RIVER,VERO BEACH,VERO BEACH MUNICIPAL
PBI,FL,FLORIDA,PALM BEACH,WEST PALM BEACH,PALM BEACH INTERNATIONAL
ABY,GA,GEORGIA,DOUGHERTY,ALBANY,SOUTHWEST GEORGIA REGIONAL
AHN,GA,GEORGIA,CLARKE,ATHENS,ATHENS/BEN EPPS
ATL,GA,GEORGIA,FULTON,ATLANTA,HARTSFIELD - JACKSON ATLANTA INTERNATIONAL
AGS,GA,GEORGIA,RICHMOND,AUGUSTA,AUGUSTA REGIONAL AT BUSH FIELD
BQK,GA,GEORGIA,GLYNN,BRUNSWICK,BRUNSWICK GOLDEN ISLES
CSG,GA,GEORGIA,MUSCOGEE,COLUMBUS,COLUMBUS
MCN,GA,GEORGIA,BIBB,MACON,MIDDLE GEORGIA REGIONAL
SAV,GA,GEORGIA,CHATHAM,SAVANNAH,SAVANNAH/HILTON HEAD INTERNATIONAL
VLD,GA,GEORGIA,LOWNDES,VALDOSTA,VALDOSTA REGIONAL
ITO,HI,HAWAII,HAWAII,HILO,HILO INTERNATIONAL
HNL,HI,HAWAII,HONOLULU,HONOLULU,HONOLULU INTERNATIONAL
OGG,HI,HAWAII,MAUI,KAHULUI,KAHULUI
KOA,HI,HAWAII,HAWAII,KAILUA/KONA,KONA INTERNATIONAL AT KEAHOLE
MKK,HI,HAWAII,MAUI,KAUNAKAKAI,MOLOKAI
LNY,HI,HAWAII,MAUI,LANAI CITY,LANAI
LIH,HI,HAWAII,KAUAI,LIHUE,LIHUE
CID,IA,IOWA,LINN,CEDAR RAPIDS,THE EASTERN IOWA
DSM,IA,IOWA,POLK,DES MOINES,DES MOINES INTERNATIONAL
DBQ,IA,IOWA,DUBUQUE,DUBUQUE,DUBUQUE REGIONAL
FOD,IA,IOWA,WEBSTER,FORT DODGE,FORT DODGE REGIONAL
MCW,IA,IOWA,CERRO GORDO,MASON CITY,MASON CITY MUNICIPAL
SUX,IA,IOWA,WOODBURY,SIOUX CITY,SIOUX GATEWAY/COL. BUD DAY FIELD
ALO,IA,IOWA,BLACK HAWK,WATERLOO,WATERLOO REGIONAL
BOI,ID,IDAHO,ADA,BOISE,BOISE AIR TERMINAL/GOWEN FIELD
COE,ID,IDAHO,KOOTENAI,COEUR D'ALENE,COEUR D'ALENE - PAPPY BOYINGTON FIELD
SUN,ID,IDAHO,BLAINE,HAILEY,FRIEDMAN MEMORIAL
IDA,ID,IDAHO,BONNEVILLE,IDAHO FALLS,IDAHO FALLS REGIONAL
LWS,ID,IDAHO,NEZ PERCE,LEWISTON,LEWISTON-NEZ PERCE COUNTY
PIH,ID,IDAHO,POWER,POCATELLO,POCATELLO REGIONAL
TWF,ID,IDAHO,TWIN FALLS,TWIN FALLS,JOSLIN FIELD - MAGIC VALLEY REGIONAL
ALN,IL,ILLINOIS,MADISON,ALTON/ST LOUIS,ST LOUIS REGIONAL
BLV,IL,ILLINOIS,ST CLAIR,BELLEVILLE,SCOTT AFB/MIDAMERICA
BMI,IL,ILLINOIS,MC LEAN,BLOOMINGTON/NORMAL,CENTRAL IL REGIONAL ARPT AT BLOOMINGTON-NORMAL
CPS,IL,ILLINOIS,ST CLAIR,CAHOKIA/ST LOUIS,ST LOUIS DOWNTOWN
MDH,IL,ILLINOIS,JACKSON,CARBONDALE/MURPHYSBORO,SOUTHERN ILLINOIS
CMI,IL,ILLINOIS,CHAMPAIGN,CHAMPAIGN/URBANA,UNIVERSITY OF ILLINOIS-WILLARD
MDW,IL,ILLINOIS,COOK,CHICAGO,CHICAGO MIDWAY INTERNATIONAL
ORD,IL,ILLINOIS,COOK,CHICAGO,CHICAGO O'HARE INTERNATIONAL
RFD,IL,ILLINOIS,WINNEBAGO,CHICAGO/ROCKFORD,CHICAGO/ROCKFORD INTERNATIONAL
DEC,IL,ILLINOIS,MACON,DECATUR,DECATUR
MWA,IL,ILLINOIS,WILLIAMSON,MARION,WILLIAMSON COUNTY REGIONAL
MTO,IL,ILLINOIS,COLES,MATTOON/CHARLESTON,COLES COUNTY MEMORIAL
MLI,IL,ILLINOIS,ROCK ISLAND,MOLINE,QUAD CITY INTERNATIONAL
MVN,IL,ILLINOIS,JEFFERSON,MOUNT VERNON,MOUNT VERNON
PIA,IL,ILLINOIS,PEORIA,PEORIA,GENERAL DOWNING - PEORIA INTERNATIONAL
UIN,IL,ILLINOIS,ADAMS,QUINCY,QUINCY REGIONAL-BALDWIN FIELD
SPI,IL,ILLINOIS,SANGAMON,SPRINGFIELD,ABRAHAM LINCOLN CAPITAL
BMG,IN,INDIANA,MONROE,BLOOMINGTON,MONROE COUNTY
BAK,IN,INDIANA,BARTHOLOMEW,COLUMBUS,COLUMBUS MUNICIPAL
EVV,IN,INDIANA,VANDERBURGH,EVANSVILLE,EVANSVILLE REGIONAL
FWA,IN,INDIANA,ALLEN,FORT WAYNE,FORT WAYNE INTERNATIONAL
GYY,IN,INDIANA,LAKE,GARY,GARY/CHICAGO INTERNATIONAL
IND,IN,INDIANA,MARION,INDIANAPOLIS,INDIANAPOLIS INTERNATIONAL
LAF,IN,INDIANA,TIPPECANOE,LAFAYETTE,PURDUE UNIVERSITY
MIE,IN,INDIANA,DELAWARE,MUNCIE,DELAWARE COUNTY REGIONAL
SBN,IN,INDIANA,ST JOSEPH,SOUTH BEND,SOUTH BEND
HUF,IN,INDIANA,VIGO,TERRE HAUTE,TERRE HAUTE INTERNATIONAL-HULMAN FIELD
VPZ,IN,INDIANA,PORTER,VALPARAISO,PORTER COUNTY REGIONAL
DDC,KS,KANSAS,FORD,DODGE CITY,DODGE CITY REGIONAL
GCK,KS,KANSAS,FINNEY,GARDEN CITY,GARDEN CITY REGIONAL
GBD,KS,KANSAS,BARTON,GREAT BEND,GREAT BEND MUNICIPAL
HYS,KS,KANSAS,ELLIS,HAYS,HAYS REGIONAL
HUT,KS,KANSAS,RENO,HUTCHINSON,HUTCHINSON MUNICIPAL
LBL,KS,KANSAS,SEWARD,LIBERAL,LIBERAL MID-AMERICA REGIONAL
MHK,KS,KANSAS,RILEY,MANHATTAN,MANHATTAN REGIONAL
SLN,KS,KANSAS,SALINE,SALINA,SALINA REGIONAL
FOE,KS,KANSAS,SHAWNEE,TOPEKA,FORBES FIELD
ICT,KS,KANSAS,SEDGWICK,WICHITA,WICHITA MID-CONTINENT
BWG,KY,KENTUCKY,WARREN,BOWLING GREEN,BOWLING GREEN-WARREN COUNTY REGIONAL
CVG,KY,KENTUCKY,BOONE,COVINGTON,CINCINNATI/NORTHERN KENTUCKY INTERNATIONAL
LEX,KY,KENTUCKY,FAYETTE,LEXINGTON,BLUE GRASS
SDF,KY,KENTUCKY,JEFFERSON,LOUISVILLE,LOUISVILLE INTERNATIONAL-STANDIFORD FIELD
OWB,KY,KENTUCKY,DAVIESS,OWENSBORO,OWENSBORO-DAVIESS COUNTY
PAH,KY,KENTUCKY,MC CRACKEN,PADUCAH,BARKLEY REGIONAL
AEX,LA,LOUISIANA,RAPIDES,ALEXANDRIA,ALEXANDRIA INTERNATIONAL
BTR,LA,LOUISIANA,EAST BATON ROUGE,BATON ROUGE,"BATON ROUGE METROPOLITAN, RYAN FIELD"
LFT,LA,LOUISIANA,LAFAYETTE,LAFAYETTE,LAFAYETTE REGIONAL
CWF,LA,LOUISIANA,CALCASIEU,LAKE CHARLES,CHENNAULT INTERNATIONAL
LCH,LA,LOUISIANA,CALCASIEU,LAKE CHARLES,LAKE CHARLES REGIONAL
MLU,LA,LOUISIANA,OUACHITA,MONROE,MONROE REGIONAL
ARA,LA,LOUISIANA,IBERIA,NEW IBERIA,ACADIANA REGIONAL
MSY,LA,LOUISIANA,JEFFERSON,NEW ORLEANS,LOUIS ARMSTRONG NEW ORLEANS INTERNATIONAL
SHV,LA,LOUISIANA,CADDO,SHREVEPORT,SHREVEPORT REGIONAL
BED,MA,MASSACHUSETTS,MIDDLESEX,BEDFORD,LAURENCE G HANSCOM FIELD
BOS,MA,MASSACHUSETTS,SUFFOLK,BOSTON,GENERAL EDWARD LAWRENCE LOGAN INTERNATIONAL
HYA,MA,MASSACHUSETTS,BARNSTABLE,HYANNIS,BARNSTABLE MUNICIPAL-BOARDMAN/POLANDO FIELD
ACK,MA,MASSACHUSETTS,NANTUCKET,NANTUCKET,NANTUCKET MEMORIAL
CEF,MA,MASSACHUSETTS,HAMPDEN,SPRINGFIELD/CHICOPEE,WESTOVER ARB/METROPOLITAN
MVY,MA,MASSACHUSETTS,DUKES,VINEYARD HAVEN,MARTHAS VINEYARD
BAF,MA,MASSACHUSETTS,HAMPDEN,WESTFIELD/SPRINGFIELD,WESTFIELD-BARNES REGIONAL
ORH,MA,MASSACHUSETTS,WORCESTER,WORCESTER,WORCESTER REGIONAL
BWI,MD,MARYLAND,ANNE ARUNDEL,BALTIMORE,BALTIMORE/WASHINGTON INTERNATIONAL THURGOOD MARSHAL
HGR,MD,MARYLAND,WASHINGTON,HAGERSTOWN,HAGERSTOWN REGIONAL-RICHARD A HENSON FIELD
SBY,MD,MARYLAND,WICOMICO,SALISBURY,SALISBURY-OCEAN CITY WICOMICO REGIONAL
BGR,ME,MAINE,PENOBSCOT,BANGOR,BANGOR INTERNATIONAL
BHB,ME,MAINE,HANCOCK,BAR HARBOR,HANCOCK COUNTY-BAR HARBOR
PWM,ME,MAINE,CUMBERLAND,PORTLAND,PORTLAND INTERNATIONAL JETPORT
PQI,ME,MAINE,AROOSTOOK,PRESQUE ISLE,NORTHERN MAINE REGIONAL ARPT AT PRESQUE IS
APN,MI,MICHIGAN,ALPENA,ALPENA,ALPENA COUNTY REGIONAL
BTL,MI,MICHIGAN,CALHOUN,BATTLE CREEK,W K KELLOGG
DTW,MI,MICHIGAN,WAYNE,DETROIT,DETROIT METROPOLITAN WAYNE COUNTY
YIP,MI,MICHIGAN,WAYNE,DETROIT,WILLOW RUN
ESC,MI,MICHIGAN,DELTA,ESCANABA,DELTA COUNTY
FNT,MI,MICHIGAN,GENESEE,FLINT,BISHOP INTERNATIONAL
GRR,MI,MICHIGAN,KENT,GRAND RAPIDS,GERALD R. FORD INTERNATIONAL
CMX,MI,MICHIGAN,HOUGHTON,HANCOCK,HOUGHTON COUNTY MEMORIAL
IMT,MI,MICHIGAN,DICKINSON,IRON MOUNTAIN KINGSFORD,FORD
IWD,MI,MICHIGAN,GOGEBIC,IRONWOOD,GOGEBIC-IRON COUNTY
AZO,MI,MICHIGAN,KALAMAZOO,KALAMAZOO,KALAMAZOO/BATTLE CREEK INTERNATIONAL
LAN,MI,MICHIGAN,CLINTON,LANSING,CAPITAL REGION INTERNATIONAL
MBL,MI,MICHIGAN,MANISTEE,MANISTEE,MANISTEE CO.-BLACKER
SAW,MI,MICHIGAN,MARQUETTE,MARQUETTE,SAWYER INTERNATIONAL
MKG,MI,MICHIGAN,MUSKEGON,MUSKEGON,MUSKEGON COUNTY
PLN,MI,MICHIGAN,EMMET,PELLSTON,PELLSTON REGIONAL AIRPORT OF EMMET COUNTY
PTK,MI,MICHIGAN,OAKLAND,PONTIAC,OAKLAND COUNTY INTERNATIONAL
MBS,MI,MICHIGAN,SAGINAW,SAGINAW,MBS INTERNATIONAL
CIU,MI,MICHIGAN,CHIPPEWA,SAULT STE MARIE,CHIPPEWA COUNTY INTERNATIONAL
TVC,MI,MICHIGAN,GRAND TRAVERSE,TRAVERSE CITY,CHERRY CAPITAL
BJI,MN,MINNESOTA,BELTRAMI,BEMIDJI,BEMIDJI REGIONAL
BRD,MN,MINNESOTA,CROW WING,BRAINERD,BRAINERD LAKES REGIONAL
DLH,MN,MINNESOTA,ST LOUIS,DULUTH,DULUTH INTERNATIONAL
HIB,MN,MINNESOTA,ST LOUIS,HIBBING,RANGE REGIONAL
INL,MN,MINNESOTA,KOOCHICHING,INTERNATIONAL FALLS,FALLS INTERNATIONAL
MSP,MN,MINNESOTA,HENNEPIN,MINNEAPOLIS,MINNEAPOLIS-ST PAUL INTERNATIONAL/WOLD-CHAMBERLAIN
RST,MN,MINNESOTA,OLMSTED,ROCHESTER,ROCHESTER INTERNATIONAL
STC,MN,MINNESOTA,SHERBURNE,ST CLOUD,ST CLOUD REGIONAL
TVF,MN,MINNESOTA,PENNINGTON,THIEF RIVER FALLS,THIEF RIVER FALLS REGIONAL
BBG,MO,MISSOURI,TANEY,BRANSON,BRANSON
CGI,MO,MISSOURI,SCOTT,CAPE GIRARDEAU,CAPE GIRARDEAU REGIONAL
COU,MO,MISSOURI,BOONE,COLUMBIA,COLUMBIA REGIONAL
JLN,MO,MISSOURI,JASPER,JOPLIN,JOPLIN REGIONAL
MKC,MO,MISSOURI,CLAY,KANSAS CITY,CHARLES B. WHEELER DOWNTOWN
MCI,MO,MISSOURI,PLATTE,KANSAS CITY,KANSAS CITY INTERNATIONAL
IRK,MO,MISSOURI,ADAIR,KIRKSVILLE,KIRKSVILLE REGIONAL
SGF,MO,MISSOURI,GREENE,SPRINGFIELD,SPRINGFIELD-BRANSON NATIONAL
STJ,MO,MISSOURI,BUCHANAN,ST JOSEPH,ROSECRANS MEMORIAL
STL,MO,MISSOURI,ST LOUIS,ST LOUIS,LAMBERT-ST LOUIS INTERNATIONAL
SUS,MO,MISSOURI,ST LOUIS,ST LOUIS,SPIRIT OF ST LOUIS
MDY,MQ,MIDWAY ATOLL,MIDWAY ISLANDS,SAND ISLAND,HENDERSON FIELD
HSA,MS,MISSISSIPPI,HANCOCK,BAY ST LOUIS,STENNIS INTERNATIONAL
GTR,MS,MISSISSIPPI,LOWNDES,COLUMBUS/W POINT/STARKVILLE,GOLDEN TRIANGLE REGIONAL
GLH,MS,MISSISSIPPI,WASHINGTON,GREENVILLE,GREENVILLE MID-DELTA
GPT,MS,MISSISSIPPI,HARRISON,GULFPORT,GULFPORT-BILOXI INTERNATIONAL
PIB,MS,MISSISSIPPI,JONES,HATTIESBURG/LAUREL,HATTIESBURG-LAUREL REGIONAL
JAN,MS,MISSISSIPPI,RANKIN,JACKSON,JACKSON-MEDGAR WILEY EVERS INTERNATIONAL
MEI,MS,MISSISSIPPI,LAUDERDALE,MERIDIAN,KEY FIELD
HEZ,MS,MISSISSIPPI,ADAMS,NATCHEZ,HARDY-ANDERS FIELD NATCHEZ-ADAMS COUNTY
UOX,MS,MISSISSIPPI,LAFAYETTE,OXFORD,UNIVERSITY-OXFORD
UTA,MS,MISSISSIPPI,TUNICA,TUNICA,TUNICA MUNICIPAL
TUP,MS,MISSISSIPPI,LEE,TUPELO,TUPELO REGIONAL
BIL,MT,MONTANA,YELLOWSTONE,BILLINGS,BILLINGS LOGAN INTERNATIONAL
BZN,MT,MONTANA,GALLATIN,BOZEMAN,BOZEMAN YELLOWSTONE INTERNATIONAL
BTM,MT,MONTANA,SILVER BOW,BUTTE,BERT MOONEY
GGW,MT,MONTANA,VALLEY,GLASGOW,WOKAL FIELD/GLASGOW INTERNATIONAL
GDV,MT,MONTANA,DAWSON,GLENDIVE,DAWSON COMMUNICIPALTY
